Unit,MEL pwr,RNG pwr,TEC pwr,HP,PP,M DEF,R DEF,T DEF,M RES,R RES,T RES,Light RES,Dark RES,Fire RES,Ice RES,Lightning RES,Wind RES,DEX
Back / Rappy Shine,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back / Circuray,25,25,25,50,9,315,315,315,2,2,2,0,0,0,0,0,0,0
Back / Circunion,25,25,25,75,9,320,320,320,4,2,2,0,0,0,0,0,0,0
Back / Whiteal Ploum,20,20,20,0,20,270,270,301,0,0,4,4,0,0,0,0,0,0
Back / Lightning Glow Izaneishi,20,20,20,150,0,361,340,340,4,4,4,4,0,0,0,6,0,20
Back / Gryzo Berula,0,0,40,0,15,289,289,320,1,2,3,0,0,0,0,0,0,0
Back / Astra Gres,20,20,20,60,10,326,322,330,2,2,2,0,3,2,2,0,0,0
Back / Ofzeterious,0,0,0,70,5,329,301,315,4,4,5,3,0,0,3,0,3,0
Back / Zeinesis Gunof,15,15,15,120,4,336,341,348,3,3,2,2,2,2,2,2,2,0
Back / Clifard Gunof,35,35,35,40,13,322,330,323,2,2,1,0,0,0,0,0,0,0
Back / Wella Board,40,40,40,50,10,336,344,331,5,4,4,0,0,0,0,0,0,0
Back / Ivlida Kibbs,25,25,25,60,10,327,327,327,3,3,3,0,2,2,0,0,0,0
Back / Cleasis Kibbs,40,40,40,90,10,344,344,344,4,4,4,0,3,3,0,0,0,0
Sub / Stella Wall,15,15,15,50,5,320,320,320,2,2,2,0,0,0,0,0,0,0
Back / Claudium Irick,0,0,85,0,17,326,320,400,2,1,4,0,5,0,0,0,0,0
Back / Phobos Coupe,40,40,40,80,0,368,368,368,5,5,5,0,0,0,0,0,0,0
Back / Mask of Vane,60,60,60,0,20,354,350,350,4,3,3,5,5,3,3,3,3,0
Back / Starquake Drape Mixion,25,25,25,70,8,333,333,333,4,4,4,0,4,0,0,0,0,0
Back / Trailblazer Drape Mixion,50,50,50,100,15,371,371,371,5,5,5,5,5,0,0,0,0,0
